2024-11-14 10:27:10 INFO SC001 (TO: TO_CO_TFTU000018, CO: CO_TFTU000018, PICK) driving to QC003; 31 s; 172693 mm
2024-11-14 10:42:11 INFO SC018 (TO: TO_CO_TFTU000075, CO: CO_TFTU000075, DROP) finished at YARD001.19
2024-11-14 10:42:11 INFO SC018 (TO: TO_CO_TFTU000098, CO: CO_TFTU000098, PICK) driving to QC003; 13 s; 72693 mm
2024-11-14 10:42:17 INFO SC005 (TO: TO_CO_TFTU000073, CO: CO_TFTU000073, DROP) finished at WS010.01
2024-11-14 10:42:17 INFO SC005 (TO: TO_CO_TFTU000126, CO: CO_TFTU000126, PICK) driving to QC005; 88 s; 486343 mm
2024-11-14 10:42:19 INFO SC003 (TO: TO_CO_TFTU000107, CO: CO_TFTU000107, DROP) working at WS002.01; 60 s
2024-11-14 10:42:21 INFO SC009 (TO: TO_CO_TFTU000099, CO: CO_TFTU000099, PICK) finished at QC005
2024-11-14 10:42:21 INFO SC009 (TO: TO_CO_TFTU000099, CO: CO_TFTU000099, DROP) driving to YARD001.05; 71 s; 392193 mm
2024-11-14 10:42:21 INFO SC012 (TO: TO_CO_TFTU000040, CO: CO_TFTU000040, PICK) waited at QC005; 48 s
2024-11-14 10:42:21 INFO SC012 (TO: TO_CO_TFTU000040, CO: CO_TFTU000040, PICK) working at QC005; 60 s
2024-11-14 10:42:21 INFO SC001 (TO: TO_CO_TFTU000080, CO: CO_TFTU000080, DROP) working at WS002.01; 60 s
2024-11-14 10:42:24 INFO SC018 (TO: TO_CO_TFTU000098, CO: CO_TFTU000098, PICK) working at QC003; 60 s
2024-11-14 10:42:24 INFO SC014 (TO: TO_CO_TFTU000104, CO: CO_TFTU000104, DROP) finished at YARD001.27
2024-11-14 10:42:24 INFO SC014 (TO: TO_CO_TFTU000121, CO: CO_TFTU000121, PICK) driving to QC003; 17 s; 92657 mm
2024-11-14 10:42:37 INFO SC007 (TO: TO_CO_TFTU000114, CO: CO_TFTU000114, PICK) finished at QC006
2024-11-14 10:42:37 INFO SC007 (TO: TO_CO_TFTU000114, CO: CO_TFTU000114, DROP) driving to YARD001.20; 65 s; 362637 mm
2024-11-14 10:42:41 INFO SC013 (TO: TO_CO_TFTU000111, CO: CO_TFTU000111, DROP) finished at YARD001.31
2024-11-14 10:42:41 INFO SC013 (TO: TO_CO_TFTU000122, CO: CO_TFTU000122, PICK) driving to QC003; 24 s; 132657 mm
2024-11-14 10:42:41 INFO SC011 (TO: TO_CO_TFTU000103, CO: CO_TFTU000103, DROP) finished at WS003.01
2024-11-14 10:42:41 INFO SC011 (TO: TO_CO_TFTU000030, CO: CO_TFTU000030, PICK) driving to QC003; 56 s; 310685 mm
2024-11-14 10:42:42 INFO SC006 (TO: TO_CO_TFTU000095, CO: CO_TFTU000095, DROP) finished at YARD001.14
2024-11-14 10:42:42 INFO SC006 (TO: TO_CO_TFTU000081, CO: CO_TFTU000081, PICK) driving to QC001; 11 s; 62657 mm
2024-11-14 10:42:42 INFO SC010 (TO: TO_CO_TFTU000100, CO: CO_TFTU000100, DROP) finished at YARD001.50
2024-11-14 10:42:42 INFO SC010 (TO: TO_CO_TFTU000102, CO: CO_TFTU000102, PICK) driving to QC006; 11 s; 62637 mm
2024-11-14 10:42:46 INFO SC002 (TO: TO_CO_TFTU000120, CO: CO_TFTU000120, PICK) finished at QC007
2024-11-14 10:42:46 INFO SC002 (TO: TO_CO_TFTU000120, CO: CO_TFTU000120, DROP) driving to YARD001.36; 54 s; 302227 mm
2024-11-14 10:42:51 INFO SC017 (TO: TO_CO_TFTU000105, CO: CO_TFTU000105, PICK) finished at QC005
2024-11-14 10:42:51 INFO SC017 (TO: TO_CO_TFTU000105, CO: CO_TFTU000105, DROP) driving to WS010.01; 88 s; 486343 mm
2024-11-14 10:42:51 INFO SC008 (TO: TO_CO_TFTU000087, CO: CO_TFTU000087, PICK) waited at QC005; 56 s
2024-11-14 10:42:51 INFO SC008 (TO: TO_CO_TFTU000087, CO: CO_TFTU000087, PICK) working at QC005; 60 s
2024-11-14 10:42:53 INFO SC006 (TO: TO_CO_TFTU000081, CO: CO_TFTU000081, PICK) working at QC001; 60 s
2024-11-14 10:42:53 INFO SC019 (TO: TO_CO_TFTU000123, CO: CO_TFTU000123, PICK) working at QC004; 60 s
2024-11-14 10:42:53 INFO SC016 (TO: TO_CO_TFTU000097, CO: CO_TFTU000097, PICK) finished at QC003
2024-11-14 10:42:53 INFO SC016 (TO: TO_CO_TFTU000097, CO: CO_TFTU000097, DROP) driving to YARD001.62; 80 s; 442657 mm
2024-11-14 10:42:53 INFO SC014 (TO: TO_CO_TFTU000121, CO: CO_TFTU000121, PICK) waited at QC003; 12 s
2024-11-14 10:42:53 INFO SC014 (TO: TO_CO_TFTU000121, CO: CO_TFTU000121, PICK) working at QC003; 60 s
2024-11-14 10:42:54 INFO SC010 (TO: TO_CO_TFTU000102, CO: CO_TFTU000102, PICK) working at QC006; 61 s
2024-11-14 10:43:01 INFO SC015 (TO: TO_CO_TFTU000113, CO: CO_TFTU000113, DROP) finished at YARD001.44
2024-11-14 10:43:01 INFO SC015 (TO: TO_CO_TFTU000127, CO: CO_TFTU000127, PICK) driving to QC006; 22 s; 122637 mm
2024-11-14 10:43:19 INFO SC003 (TO: TO_CO_TFTU000107, CO: CO_TFTU000107, DROP) finished at WS002.01
2024-11-14 10:43:19 INFO SC003 (TO: TO_CO_TFTU000043, CO: CO_TFTU000043, PICK) driving to QC006; 52 s; 286787 mm
2024-11-14 10:43:21 INFO SC012 (TO: TO_CO_TFTU000040, CO: CO_TFTU000040, PICK) finished at QC005
2024-11-14 10:43:21 INFO SC012 (TO: TO_CO_TFTU000040, CO: CO_TFTU000040, DROP) driving to WS012.01; 106 s; 586343 mm
2024-11-14 10:43:21 INFO SC020 (TO: TO_CO_TFTU000125, CO: CO_TFTU000125, PICK) waited at QC005; 68 s
2024-11-14 10:43:21 INFO SC020 (TO: TO_CO_TFTU000125, CO: CO_TFTU000125, PICK) working at QC005; 60 s
2024-11-14 10:43:21 INFO SC001 (TO: TO_CO_TFTU000080, CO: CO_TFTU000080, DROP) finished at WS002.01
2024-11-14 10:43:21 INFO SC001 (TO: TO_CO_TFTU000057, CO: CO_TFTU000057, PICK) driving to QC005; 34 s; 186343 mm
2024-11-14 10:43:24 INFO SC015 (TO: TO_CO_TFTU000127, CO: CO_TFTU000127, PICK) working at QC006; 61 s
2024-11-14 10:43:24 INFO SC018 (TO: TO_CO_TFTU000098, CO: CO_TFTU000098, PICK) finished at QC003
2024-11-14 10:43:24 INFO SC018 (TO: TO_CO_TFTU000098, CO: CO_TFTU000098, DROP) driving to WS004.01; 65 s; 360685 mm
2024-11-14 10:43:24 INFO SC013 (TO: TO_CO_TFTU000122, CO: CO_TFTU000122, PICK) waited at QC003; 19 s
2024-11-14 10:43:24 INFO SC013 (TO: TO_CO_TFTU000122, CO: CO_TFTU000122, PICK) working at QC003; 60 s
2024-11-14 10:43:31 INFO SC009 (TO: TO_CO_TFTU000099, CO: CO_TFTU000099, DROP) working at YARD001.05; 60 s
2024-11-14 10:43:41 INFO SC002 (TO: TO_CO_TFTU000120, CO: CO_TFTU000120, DROP) working at YARD001.36; 61 s
2024-11-14 10:43:43 INFO SC007 (TO: TO_CO_TFTU000114, CO: CO_TFTU000114, DROP) working at YARD001.20; 61 s
2024-11-14 10:43:51 INFO SC008 (TO: TO_CO_TFTU000087, CO: CO_TFTU000087, PICK) finished at QC005
2024-11-14 10:43:51 INFO SC008 (TO: TO_CO_TFTU000087, CO: CO_TFTU000087, DROP) driving to WS010.01; 88 s; 486343 mm
2024-11-14 10:43:51 INFO SC004 (TO: TO_CO_TFTU000116, CO: CO_TFTU000116, PICK) waited at QC005; 75 s
2024-11-14 10:43:51 INFO SC004 (TO: TO_CO_TFTU000116, CO: CO_TFTU000116, PICK) working at QC005; 60 s
2024-11-14 10:43:53 INFO SC006 (TO: TO_CO_TFTU000081, CO: CO_TFTU000081, PICK) finished at QC001
2024-11-14 10:43:53 INFO SC006 (TO: TO_CO_TFTU000081, CO: CO_TFTU000081, DROP) driving to WS004.01; 83 s; 460685 mm
2024-11-14 10:43:53 INFO SC019 (TO: TO_CO_TFTU000123, CO: CO_TFTU000123, PICK) finished at QC004
2024-11-14 10:43:53 INFO SC019 (TO: TO_CO_TFTU000123, CO: CO_TFTU000123, DROP) driving to WS004.01; 47 s; 261202 mm
2024-11-14 10:43:54 INFO SC014 (TO: TO_CO_TFTU000121, CO: CO_TFTU000121, PICK) finished at QC003
2024-11-14 10:43:54 INFO SC014 (TO: TO_CO_TFTU000121, CO: CO_TFTU000121, DROP) driving to WS001.01; 38 s; 210685 mm
2024-11-14 10:43:54 INFO SC011 (TO: TO_CO_TFTU000030, CO: CO_TFTU000030, PICK) waited at QC003; 17 s
2024-11-14 10:43:54 INFO SC011 (TO: TO_CO_TFTU000030, CO: CO_TFTU000030, PICK) working at QC003; 60 s
2024-11-14 10:43:54 INFO SC010 (TO: TO_CO_TFTU000102, CO: CO_TFTU000102, PICK) finished at QC006
2024-11-14 10:43:54 INFO SC010 (TO: TO_CO_TFTU000102, CO: CO_TFTU000102, DROP) driving to WS008.01; 88 s; 486787 mm
2024-11-14 10:44:11 INFO SC003 (TO: TO_CO_TFTU000043, CO: CO_TFTU000043, PICK) working at QC006; 60 s
2024-11-14 10:44:13 INFO SC016 (TO: TO_CO_TFTU000097, CO: CO_TFTU000097, DROP) working at YARD001.62; 60 s
2024-11-14 10:44:18 INFO SC017 (TO: TO_CO_TFTU000105, CO: CO_TFTU000105, DROP) working at WS010.01; 60 s
2024-11-14 10:44:22 INFO SC020 (TO: TO_CO_TFTU000125, CO: CO_TFTU000125, PICK) finished at QC005
2024-11-14 10:44:22 INFO SC020 (TO: TO_CO_TFTU000125, CO: CO_TFTU000125, DROP) driving to WS001.01; 25 s; 136343 mm
2024-11-14 10:44:22 INFO SC005 (TO: TO_CO_TFTU000126, CO: CO_TFTU000126, PICK) waited at QC005; 37 s
2024-11-14 10:44:22 INFO SC005 (TO: TO_CO_TFTU000126, CO: CO_TFTU000126, PICK) working at QC005; 60 s
2024-11-14 10:44:24 INFO SC013 (TO: TO_CO_TFTU000122, CO: CO_TFTU000122, PICK) finished at QC003
2024-11-14 10:44:24 INFO SC013 (TO: TO_CO_TFTU000122, CO: CO_TFTU000122, DROP) driving to WS004.01; 65 s; 360685 mm
2024-11-14 10:44:24 INFO SC015 (TO: TO_CO_TFTU000127, CO: CO_TFTU000127, PICK) finished at QC006
2024-11-14 10:44:24 INFO SC015 (TO: TO_CO_TFTU000127, CO: CO_TFTU000127, DROP) driving to YARD001.29; 49 s; 272637 mm
2024-11-14 10:44:29 INFO SC018 (TO: TO_CO_TFTU000098, CO: CO_TFTU000098, DROP) working at WS004.01; 60 s
2024-11-14 10:44:31 INFO SC009 (TO: TO_CO_TFTU000099, CO: CO_TFTU000099, DROP) finished at YARD001.05
2024-11-14 10:44:31 INFO SC009 (TO: TO_CO_TFTU000094, CO: CO_TFTU000094, PICK) driving to RAIL001.01; 28 s; 157317 mm
2024-11-14 10:44:32 INFO SC014 (TO: TO_CO_TFTU000121, CO: CO_TFTU000121, DROP) working at WS001.01; 60 s
2024-11-14 10:44:40 INFO SC019 (TO: TO_CO_TFTU000123, CO: CO_TFTU000123, DROP) working at WS004.01; 60 s
2024-11-14 10:44:41 INFO SC002 (TO: TO_CO_TFTU000120, CO: CO_TFTU000120, DROP) finished at YARD001.36
2024-11-14 10:44:41 INFO SC002 (TO: TO_CO_TFTU000117, CO: CO_TFTU000117, PICK) driving to QC005; 18 s; 102193 mm
2024-11-14 10:44:43 INFO SC007 (TO: TO_CO_TFTU000114, CO: CO_TFTU000114, DROP) finished at YARD001.20
2024-11-14 10:44:43 INFO SC007 (TO: TO_CO_TFTU000128, CO: CO_TFTU000128, PICK) driving to QC003; 11 s; 62693 mm
2024-11-14 10:44:46 INFO SC020 (TO: TO_CO_TFTU000125, CO: CO_TFTU000125, DROP) working at WS001.01; 60 s
2024-11-14 10:44:51 INFO SC004 (TO: TO_CO_TFTU000116, CO: CO_TFTU000116, PICK) finished at QC005
2024-11-14 10:44:51 INFO SC004 (TO: TO_CO_TFTU000116, CO: CO_TFTU000116, DROP) driving to WS002.01; 34 s; 186343 mm
2024-11-14 10:44:51 INFO SC001 (TO: TO_CO_TFTU000057, CO: CO_TFTU000057, PICK) waited at QC005; 56 s
2024-11-14 10:44:51 INFO SC001 (TO: TO_CO_TFTU000057, CO: CO_TFTU000057, PICK) working at QC005; 60 s
2024-11-14 10:44:54 INFO SC011 (TO: TO_CO_TFTU000030, CO: CO_TFTU000030, PICK) finished at QC003
2024-11-14 10:44:54 INFO SC011 (TO: TO_CO_TFTU000030, CO: CO_TFTU000030, DROP) driving to WS012.01; 119 s; 660685 mm
2024-11-14 10:44:55 INFO SC007 (TO: TO_CO_TFTU000128, CO: CO_TFTU000128, PICK) working at QC003; 61 s
2024-11-14 10:45:00 INFO SC009 (TO: TO_CO_TFTU000094, CO: CO_TFTU000094, PICK) working at RAIL001.01; 61 s
2024-11-14 10:45:07 INFO SC012 (TO: TO_CO_TFTU000040, CO: CO_TFTU000040, DROP) working at WS012.01; 60 s
2024-11-14 10:45:11 INFO SC003 (TO: TO_CO_TFTU000043, CO: CO_TFTU000043, PICK) finished at QC006
2024-11-14 10:45:11 INFO SC003 (TO: TO_CO_TFTU000043, CO: CO_TFTU000043, DROP) driving to WS010.01; 106 s; 586787 mm
2024-11-14 10:45:13 INFO SC016 (TO: TO_CO_TFTU000097, CO: CO_TFTU000097, DROP) finished at YARD001.62
2024-11-14 10:45:13 INFO SC016 (TO: TO_CO_TFTU000130, CO: CO_TFTU000130, PICK) driving to QC006; 26 s; 142713 mm
2024-11-14 10:45:14 INFO SC015 (TO: TO_CO_TFTU000127, CO: CO_TFTU000127, DROP) working at YARD001.29; 61 s
2024-11-14 10:45:18 INFO SC017 (TO: TO_CO_TFTU000105, CO: CO_TFTU000105, DROP) finished at WS010.01
2024-11-14 10:45:18 INFO SC017 (TO: TO_CO_TFTU000015, CO: CO_TFTU000015, PICK) driving to QC005; 88 s; 486343 mm
2024-11-14 10:45:19 INFO SC008 (TO: TO_CO_TFTU000087, CO: CO_TFTU000087, DROP) working at WS010.01; 60 s
2024-11-14 10:45:22 INFO SC010 (TO: TO_CO_TFTU000102, CO: CO_TFTU000102, DROP) working at WS008.01; 60 s
2024-11-14 10:45:22 INFO SC005 (TO: TO_CO_TFTU000126, CO: CO_TFTU000126, PICK) finished at QC005
2024-11-14 10:45:22 INFO SC005 (TO: TO_CO_TFTU000126, CO: CO_TFTU000126, DROP) driving to YARD001.27; 35 s; 192193 mm
2024-11-14 10:45:22 INFO SC002 (TO: TO_CO_TFTU000117, CO: CO_TFTU000117, PICK) waited at QC005; 22 s
2024-11-14 10:45:22 INFO SC002 (TO: TO_CO_TFTU000117, CO: CO_TFTU000117, PICK) working at QC005; 61 s
2024-11-14 10:45:25 INFO SC004 (TO: TO_CO_TFTU000116, CO: CO_TFTU000116, DROP) working at WS002.01; 60 s
2024-11-14 10:45:29 INFO SC018 (TO: TO_CO_TFTU000098, CO: CO_TFTU000098, DROP) finished at WS004.01
2024-11-14 10:45:29 INFO SC018 (TO: TO_CO_TFTU000129, CO: CO_TFTU000129, PICK) driving to QC006; 70 s; 386787 mm
2024-11-14 10:45:29 INFO SC006 (TO: TO_CO_TFTU000081, CO: CO_TFTU000081, DROP) waited at WS004.01; 13 s
2024-11-14 10:45:29 INFO SC006 (TO: TO_CO_TFTU000081, CO: CO_TFTU000081, DROP) working at WS004.01; 60 s
2024-11-14 10:45:32 INFO SC014 (TO: TO_CO_TFTU000121, CO: CO_TFTU000121, DROP) finished at WS001.01
2024-11-14 10:45:32 INFO SC014 (TO: TO_CO_TFTU000133, CO: CO_TFTU000133, PICK) driving to QC005; 25 s; 136343 mm
2024-11-14 10:45:39 INFO SC016 (TO: TO_CO_TFTU000130, CO: CO_TFTU000130, PICK) working at QC006; 60 s
2024-11-14 10:45:40 INFO SC019 (TO: TO_CO_TFTU000123, CO: CO_TFTU000123, DROP) finished at WS004.01
2024-11-14 10:45:40 INFO SC019 (TO: TO_CO_TFTU000106, CO: CO_TFTU000106, PICK) driving to QC005; 52 s; 286343 mm
2024-11-14 10:45:40 INFO SC013 (TO: TO_CO_TFTU000122, CO: CO_TFTU000122, DROP) waited at WS004.01; 11 s
2024-11-14 10:45:40 INFO SC013 (TO: TO_CO_TFTU000122, CO: CO_TFTU000122, DROP) working at WS004.01; 60 s
2024-11-14 10:45:46 INFO SC020 (TO: TO_CO_TFTU000125, CO: CO_TFTU000125, DROP) finished at WS001.01
2024-11-14 10:45:46 INFO SC020 (TO: TO_CO_TFTU000137, CO: CO_TFTU000137, PICK) driving to QC003; 38 s; 210685 mm
2024-11-14 10:45:52 INFO SC001 (TO: TO_CO_TFTU000057, CO: CO_TFTU000057, PICK) finished at QC005
2024-11-14 10:45:52 INFO SC001 (TO: TO_CO_TFTU000057, CO: CO_TFTU000057, DROP) driving to WS012.01; 106 s; 586343 mm
2024-11-14 10:45:55 INFO SC007 (TO: TO_CO_TFTU000128, CO: CO_TFTU000128, PICK) finished at QC003
2024-11-14 10:45:55 INFO SC007 (TO: TO_CO_TFTU000128, CO: CO_TFTU000128, DROP) driving to YARD001.14; 22 s; 122693 mm
2024-11-14 10:45:56 INFO SC014 (TO: TO_CO_TFTU000133, CO: CO_TFTU000133, PICK) working at QC005; 60 s
2024-11-14 10:45:57 INFO SC005 (TO: TO_CO_TFTU000126, CO: CO_TFTU000126, DROP) working at YARD001.27; 60 s
2024-11-14 10:46:00 INFO SC009 (TO: TO_CO_TFTU000094, CO: CO_TFTU000094, PICK) finished at RAIL001.01
2024-11-14 10:46:00 INFO SC009 (TO: TO_CO_TFTU000094, CO: CO_TFTU000094, DROP) driving to WS003.01; 88 s; 486833 mm
2024-11-14 10:46:07 INFO SC012 (TO: TO_CO_TFTU000040, CO: CO_TFTU000040, DROP) finished at WS012.01
2024-11-14 10:46:07 INFO SC012 (TO: TO_CO_TFTU000139, CO: CO_TFTU000139, PICK) driving to QC003; 119 s; 660685 mm
2024-11-14 10:46:14 INFO SC015 (TO: TO_CO_TFTU000127, CO: CO_TFTU000127, DROP) finished at YARD001.29
2024-11-14 10:46:14 INFO SC015 (TO: TO_CO_TFTU000138, CO: CO_TFTU000138, PICK) driving to QC003; 20 s; 112657 mm
2024-11-14 10:46:17 INFO SC007 (TO: TO_CO_TFTU000128, CO: CO_TFTU000128, DROP) working at YARD001.14; 60 s
2024-11-14 10:46:19 INFO SC008 (TO: TO_CO_TFTU000087, CO: CO_TFTU000087, DROP) finished at WS010.01
2024-11-14 10:46:19 INFO SC008 (TO: TO_CO_TFTU000110, CO: CO_TFTU000110, PICK) driving to RAIL001.109; 76 s; 421833 mm
2024-11-14 10:46:22 INFO SC010 (TO: TO_CO_TFTU000102, CO: CO_TFTU000102, DROP) finished at WS008.01
2024-11-14 10:46:22 INFO SC010 (TO: TO_CO_TFTU000131, CO: CO_TFTU000131, PICK) driving to RAIL001.20; 104 s; 579833 mm
2024-11-14 10:46:23 INFO SC002 (TO: TO_CO_TFTU000117, CO: CO_TFTU000117, PICK) finished at QC005
2024-11-14 10:46:23 INFO SC002 (TO: TO_CO_TFTU000117, CO: CO_TFTU000117, DROP) driving to WS003.01; 43 s; 236343 mm
2024-11-14 10:46:24 INFO SC020 (TO: TO_CO_TFTU000137, CO: CO_TFTU000137, PICK) working at QC003; 60 s
2024-11-14 10:46:25 INFO SC004 (TO: TO_CO_TFTU000116, CO: CO_TFTU000116, DROP) finished at WS002.01
2024-11-14 10:46:25 INFO SC004 (TO: TO_CO_TFTU000142, CO: CO_TFTU000142, PICK) driving to QC006; 52 s; 286787 mm
2024-11-14 10:46:29 INFO SC006 (TO: TO_CO_TFTU000081, CO: CO_TFTU000081, DROP) finished at WS004.01
2024-11-14 10:46:29 INFO SC006 (TO: TO_CO_TFTU000135, CO: CO_TFTU000135, PICK) driving to QC006; 70 s; 386787 mm
2024-11-14 10:46:32 INFO SC019 (TO: TO_CO_TFTU000106, CO: CO_TFTU000106, PICK) working at QC005; 60 s
2024-11-14 10:46:35 INFO SC015 (TO: TO_CO_TFTU000138, CO: CO_TFTU000138, PICK) working at QC003; 61 s
2024-11-14 10:46:39 INFO SC018 (TO: TO_CO_TFTU000129, CO: CO_TFTU000129, PICK) working at QC006; 60 s
2024-11-14 10:46:39 INFO SC016 (TO: TO_CO_TFTU000130, CO: CO_TFTU000130, PICK) finished at QC006
2024-11-14 10:46:39 INFO SC016 (TO: TO_CO_TFTU000130, CO: CO_TFTU000130, DROP) driving to YARD001.04; 90 s; 502637 mm
2024-11-14 10:46:40 INFO SC013 (TO: TO_CO_TFTU000122, CO: CO_TFTU000122, DROP) finished at WS004.01
2024-11-14 10:46:40 INFO SC013 (TO: TO_CO_TFTU000025, CO: CO_TFTU000025, PICK) driving to QC006; 70 s; 386787 mm
2024-11-14 10:46:53 INFO SC011 (TO: TO_CO_TFTU000030, CO: CO_TFTU000030, DROP) working at WS012.01; 60 s
2024-11-14 10:46:56 INFO SC014 (TO: TO_CO_TFTU000133, CO: CO_TFTU000133, PICK) finished at QC005
2024-11-14 10:46:56 INFO SC014 (TO: TO_CO_TFTU000133, CO: CO_TFTU000133, DROP) driving to YARD001.36; 18 s; 102193 mm
2024-11-14 10:46:56 INFO SC017 (TO: TO_CO_TFTU000015, CO: CO_TFTU000015, PICK) waited at QC005; 10 s
2024-11-14 10:46:56 INFO SC017 (TO: TO_CO_TFTU000015, CO: CO_TFTU000015, PICK) working at QC005; 60 s
2024-11-14 10:46:57 INFO SC005 (TO: TO_CO_TFTU000126, CO: CO_TFTU000126, DROP) finished at YARD001.27
2024-11-14 10:46:57 INFO SC005 (TO: TO_CO_TFTU000140, CO: CO_TFTU000140, PICK) driving to QC003; 17 s; 92657 mm
2024-11-14 10:46:57 INFO SC003 (TO: TO_CO_TFTU000043, CO: CO_TFTU000043, DROP) working at WS010.01; 60 s
2024-11-14 10:47:05 INFO SC002 (TO: TO_CO_TFTU000117, CO: CO_TFTU000117, DROP) working at WS003.01; 60 s
2024-11-14 10:47:15 INFO SC014 (TO: TO_CO_TFTU000133, CO: CO_TFTU000133, DROP) working at YARD001.36; 61 s
2024-11-14 10:47:17 INFO SC004 (TO: TO_CO_TFTU000142, CO: CO_TFTU000142, PICK) working at QC006; 60 s
2024-11-14 10:47:17 INFO SC007 (TO: TO_CO_TFTU000128, CO: CO_TFTU000128, DROP) finished at YARD001.14
2024-11-14 10:47:17 INFO SC007 (TO: TO_CO_TFTU000132, CO: CO_TFTU000132, PICK) driving to QC003; 22 s; 122693 mm
2024-11-14 10:47:24 INFO SC020 (TO: TO_CO_TFTU000137, CO: CO_TFTU000137, PICK) finished at QC003
2024-11-14 10:47:24 INFO SC020 (TO: TO_CO_TFTU000137, CO: CO_TFTU000137, DROP) driving to YARD001.29; 20 s; 112657 mm
2024-11-14 10:47:24 INFO SC005 (TO: TO_CO_TFTU000140, CO: CO_TFTU000140, PICK) waited at QC003; 10 s
2024-11-14 10:47:24 INFO SC005 (TO: TO_CO_TFTU000140, CO: CO_TFTU000140, PICK) working at QC003; 60 s
2024-11-14 10:47:28 INFO SC009 (TO: TO_CO_TFTU000094, CO: CO_TFTU000094, DROP) working at WS003.01; 60 s
2024-11-14 10:47:32 INFO SC019 (TO: TO_CO_TFTU000106, CO: CO_TFTU000106, PICK) finished at QC005
2024-11-14 10:47:32 INFO SC019 (TO: TO_CO_TFTU000106, CO: CO_TFTU000106, DROP) driving to WS010.01; 88 s; 486343 mm
2024-11-14 10:47:35 INFO SC008 (TO: TO_CO_TFTU000110, CO: CO_TFTU000110, PICK) working at RAIL001.109; 60 s
2024-11-14 10:47:35 INFO SC015 (TO: TO_CO_TFTU000138, CO: CO_TFTU000138, PICK) finished at QC003
2024-11-14 10:47:35 INFO SC015 (TO: TO_CO_TFTU000138, CO: CO_TFTU000138, DROP) driving to YARD001.38; 36 s; 202657 mm
2024-11-14 10:47:37 INFO SC001 (TO: TO_CO_TFTU000057, CO: CO_TFTU000057, DROP) working at WS012.01; 60 s
2024-11-14 10:47:39 INFO SC018 (TO: TO_CO_TFTU000129, CO: CO_TFTU000129, PICK) finished at QC006
2024-11-14 10:47:39 INFO SC018 (TO: TO_CO_TFTU000129, CO: CO_TFTU000129, DROP) driving to YARD001.03; 92 s; 512637 mm
2024-11-14 10:47:39 INFO SC006 (TO: TO_CO_TFTU000135, CO: CO_TFTU000135, PICK) working at QC006; 60 s
2024-11-14 10:47:39 INFO SC007 (TO: TO_CO_TFTU000132, CO: CO_TFTU000132, PICK) working at QC003; 60 s
2024-11-14 10:47:44 INFO SC020 (TO: TO_CO_TFTU000137, CO: CO_TFTU000137, DROP) working at YARD001.29; 60 s
2024-11-14 10:47:53 INFO SC011 (TO: TO_CO_TFTU000030, CO: CO_TFTU000030, DROP) finished at WS012.01
2024-11-14 10:47:53 INFO SC011 (TO: TO_CO_TFTU000153, CO: CO_TFTU000153, PICK) driving to QC004; 101 s; 561202 mm
2024-11-14 10:47:57 INFO SC017 (TO: TO_CO_TFTU000015, CO: CO_TFTU000015, PICK) finished at QC005
2024-11-14 10:47:57 INFO SC017 (TO: TO_CO_TFTU000015, CO: CO_TFTU000015, DROP) driving to WS016.01; 142 s; 786343 mm
2024-11-14 10:47:57 INFO SC003 (TO: TO_CO_TFTU000043, CO: CO_TFTU000043, DROP) finished at WS010.01
2024-11-14 10:47:57 INFO SC003 (TO: TO_CO_TFTU000088, CO: CO_TFTU000088, PICK) driving to QC005; 88 s; 486343 mm
2024-11-14 10:48:05 INFO SC002 (TO: TO_CO_TFTU000117, CO: CO_TFTU000117, DROP) finished at WS003.01
2024-11-14 10:48:05 INFO SC002 (TO: TO_CO_TFTU000124, CO: CO_TFTU000124, PICK) driving to QC005; 43 s; 236343 mm
2024-11-14 10:48:07 INFO SC010 (TO: TO_CO_TFTU000131, CO: CO_TFTU000131, PICK) working at RAIL001.20; 61 s
2024-11-14 10:48:10 INFO SC016 (TO: TO_CO_TFTU000130, CO: CO_TFTU000130, DROP) working at YARD001.04; 61 s
2024-11-14 10:48:12 INFO SC015 (TO: TO_CO_TFTU000138, CO: CO_TFTU000138, DROP) working at YARD001.38; 61 s
2024-11-14 10:48:15 INFO SC014 (TO: TO_CO_TFTU000133, CO: CO_TFTU000133, DROP) finished at YARD001.36
2024-11-14 10:48:15 INFO SC014 (TO: TO_CO_TFTU000147, CO: CO_TFTU000147, PICK) driving to QC005; 18 s; 102193 mm
2024-11-14 10:48:17 INFO SC004 (TO: TO_CO_TFTU000142, CO: CO_TFTU000142, PICK) finished at QC006
2024-11-14 10:48:17 INFO SC004 (TO: TO_CO_TFTU000142, CO: CO_TFTU000142, DROP) driving to YARD001.50; 11 s; 62637 mm
2024-11-14 10:48:17 INFO SC013 (TO: TO_CO_TFTU000025, CO: CO_TFTU000025, PICK) waited at QC006; 27 s
2024-11-14 10:48:17 INFO SC013 (TO: TO_CO_TFTU000025, CO: CO_TFTU000025, PICK) working at QC006; 60 s
2024-11-14 10:48:24 INFO SC005 (TO: TO_CO_TFTU000140, CO: CO_TFTU000140, PICK) finished at QC003
2024-11-14 10:48:24 INFO SC005 (TO: TO_CO_TFTU000140, CO: CO_TFTU000140, DROP) driving to WS004.01; 65 s; 360685 mm
2024-11-14 10:48:24 INFO SC012 (TO: TO_CO_TFTU000139, CO: CO_TFTU000139, PICK) waited at QC003; 18 s
2024-11-14 10:48:24 INFO SC012 (TO: TO_CO_TFTU000139, CO: CO_TFTU000139, PICK) working at QC003; 60 s
